order_id,symbol,side,open_type,price,volume,pnl,fee,timestamp,status,pos_id,avg_price
3679726,SOLUSDT,buy,1,124.92597333,0.53333333,0.0,0.013325,1766296296129,filled,1808368,124.91
3679836,SOLUSDT,sell,2,125.25910926,0.53333333,-0.29866666,0.01336107,1766304459323,filled,1808368,125.26
3679867,SOLUSDT,sell,2,125.59313355,0.53333333,-0.08,0.0134048,1766305903752,filled,1808368,125.67
3679869,SOLUSDT,sell,2,125.92804857,0.53333333,0.07466667,0.01343573,1766305969423,filled,1808368,125.96
3679931,SOLUSDT,sell,2,126.2638567,0.53333333,0.24533333,0.01346987,1766308687298,filled,1808368,126.28
3679955,SOLUSDT,buy,1,125.92715308,0.53333333,0.0,0.013432,1766309787695,filled,1808368,125.42
3680078,SOLUSDT,buy,1,125.42,0.53333333,0.0,0.0301,1766317903539,filled,1808368,125.42
3680604,SOLUSDT,sell,2,126.38613333,0.53333333,0.36266666,0.01348587,1766374140830,filled,1808368,126.43
3680605,SOLUSDT,buy,1,126.04910364,0.53333333,0.0,0.013445,1766374398784,filled,1808368,126.03
3680608,SOLUSDT,sell,2,126.38523458,0.53333333,0.32533333,0.0134816,1766374484609,filled,1808368,126.39
3680633,SOLUSDT,buy,1,126.04820729,0.53333333,0.0,0.013445,1766377732267,filled,1808368,126.04
3680642,SOLUSDT,sell,2,126.38433584,0.53333333,0.37866666,0.01349547,1766377980932,filled,1808368,126.52
3680671,SOLUSDT,buy,1,126.04731094,0.53333333,0.0,0.013445,1766378988079,filled,1808368,126.03
3680688,SOLUSDT,sell,2,126.3834371,0.53333333,0.29333333,0.0134816,1766381412433,filled,1808368,126.39
3680692,SOLUSDT,buy,1,126.0464146,0.53333333,0.0,0.013444,1766381922846,filled,1808368,126.04
3680709,SOLUSDT,sell,2,126.38253837,0.53333333,0.288,0.01348267,1766383640523,filled,1808368,126.4
3680718,SOLUSDT,buy,1,126.04551827,0.53333333,0.0,0.013444,1766384381717,filled,1808368,126.04
3680733,SOLUSDT,buy,1,125.70939689,0.53333333,0.0,0.013409,1766386182084,filled,1808368,125.68
3680743,SOLUSDT,sell,2,126.04462195,0.53333333,0.10133333,0.01344533,1766386803152,filled,1808368,126.05
3680755,SOLUSDT,sell,2,126.38074094,0.53333333,0.28266666,0.0134816,1766387204909,filled,1808368,126.39
3680758,SOLUSDT,buy,1,126.04372563,0.53333333,0.0,0.013444,1766387297183,filled,1808368,126.04
3680818,SOLUSDT,sell,2,126.37984223,0.53333333,0.26666667,0.01348053,1766391149324,filled,1808368,126.38
3680825,SOLUSDT,sell,2,126.71685514,0.53333333,0.45866666,0.01351893,1766391481296,filled,1808368,126.74
3680829,SOLUSDT,sell,2,127.05476675,0.53333333,0.64,0.0135552,1766391604403,filled,1808368,127.08
3680831,SOLUSDT,buy,1,126.71595404,0.53333333,0.0,0.013516,1766391665768,filled,1808368,126.71
3680865,SOLUSDT,buy,1,126.37804483,0.53333333,0.0,0.01348,1766393280889,filled,1808368,126.31
3680871,SOLUSDT,buy,1,126.04103671,0.53333333,0.0,0.013444,1766393423516,filled,1808368,126.03
3680878,SOLUSDT,buy,1,125.70492728,0.53333333,0.0,0.013408,1766393715314,filled,1808368,125.65
3680884,SOLUSDT,sell,2,126.04014042,0.53333333,0.04266667,0.0134464,1766393850096,filled,1808368,126.06
3681016,SOLUSDT,sell,2,126.37624746,0.53333333,0.21866667,0.0134816,1766395967296,filled,1808368,126.39
3681186,SOLUSDT,sell,2,126.71325079,0.53333333,0.39466666,0.0135168,1766398605129,filled,1808368,126.72
3681244,SOLUSDT,buy,1,126.37534879,0.53333333,0.0,0.01348,1766399752552,filled,1808368,126.37
3681371,SOLUSDT,sell,2,126.71234972,0.53333333,0.384,0.01351893,1766402249562,filled,1808368,126.74
3681392,SOLUSDT,sell,2,127.05024932,0.53333333,0.55466666,0.01355307,1766402832863,filled,1808368,127.06
3681412,SOLUSDT,buy,1,126.71144866,0.53333333,0.0,0.013515,1766403423655,filled,1808368,126.69
3681466,SOLUSDT,sell,2,127.04934586,0.53333333,0.53333333,0.01355733,1766405430038,filled,1808368,127.1
3681473,SOLUSDT,sell,2,127.38814412,0.53333333,0.72,0.01359467,1766405768716,filled,1808368,127.45
3681506,SOLUSDT,buy,1,127.0484424,0.53333333,0.0,0.013551,1766406790174,filled,1808368,127.03
3681514,SOLUSDT,buy,1,126.70964655,0.53333333,0.0,0.013515,1766406854706,filled,1808368,126.7
3681559,SOLUSDT,buy,1,126.37175416,0.53333333,0.0,0.013479,1766407291787,filled,1808368,126.36
3681853,SOLUSDT,sell,2,127.61941333,0.53333333,0.72,0.01361387,1766413408548,filled,1808368,127.63
3681901,SOLUSDT,sell,2,127.95973177,0.53333333,0.92799999,0.01365547,1766413931100,filled,1808368,128.02
3681904,SOLUSDT,buy,1,127.61850582,0.53333333,0.0,0.013612,1766413936110,filled,1808368,127.61
3681916,SOLUSDT,buy,1,127.2781898,0.53333333,0.0,0.013576,1766413996146,filled,1808368,127.26
3681925,SOLUSDT,buy,1,126.93878129,0.53333333,0.0,0.01354,1766414029215,filled,1808368,126.82
3681931,SOLUSDT,buy,1,126.60027787,0.53333333,0.0,0.013504,1766414046762,filled,1808368,126.56
3682010,SOLUSDT,sell,2,126.93787861,0.53333333,0.224,0.01354347,1766414472593,filled,1808368,126.97
3682027,SOLUSDT,sell,2,127.27637962,0.53333333,0.38933333,0.01357653,1766414599797,filled,1808368,127.28
3682045,SOLUSDT,sell,2,127.6157833,0.53333333,0.624,0.01362347,1766414833913,filled,1808368,127.72
3682047,SOLUSDT,sell,2,127.95609206,0.53333333,0.76266666,0.0136512,1766414842657,filled,1808368,127.98
3682134,SOLUSDT,buy,1,127.61487581,0.53333333,0.0,0.013612,1766415303007,filled,1808368,127.61
3682195,SOLUSDT,sell,2,127.95518215,0.53333333,0.688,0.01364907,1766415667887,filled,1808368,127.96
3682214,SOLUSDT,sell,2,128.29639597,0.53333333,0.89066666,0.0136896,1766415852586,filled,1808368,128.34
3682253,SOLUSDT,sell,2,128.63851969,0.53333333,1.05599999,0.01372267,1766416148317,filled,1808368,128.65
3682263,SOLUSDT,buy,1,128.29548364,0.53333333,0.0,0.013684,1766416215602,filled,1808368,128.25
3682288,SOLUSDT,buy,1,127.95336235,0.53333333,0.0,0.013648,1766416354879,filled,1808368,127.78
3682295,SOLUSDT,buy,1,127.61215338,0.53333333,0.0,0.013611,1766416372071,filled,1808368,127.56
3682317,SOLUSDT,buy,1,127.2718543,0.53333333,0.0,0.013575,1766416472119,filled,1808368,127.26
3682341,SOLUSDT,buy,1,126.93246269,0.53333333,0.0,0.013539,1766416934899,filled,1808368,126.85
3682351,SOLUSDT,sell,2,127.27094926,0.53333333,0.12266667,0.01357867,1766417005391,filled,1808368,127.3
3682358,SOLUSDT,buy,1,126.93156006,0.53333333,0.0,0.013539,1766417072308,filled,1808368,126.93
3682402,SOLUSDT,sell,2,127.27004422,0.53333333,0.12266667,0.0135776,1766417517942,filled,1808368,127.29
3682408,SOLUSDT,buy,1,126.93065744,0.53333333,0.0,0.013539,1766417698432,filled,1808368,126.89
3682412,SOLUSDT,buy,1,126.59217569,0.53333333,0.0,0.013503,1766417769213,filled,1808368,126.5
3682417,SOLUSDT,sell,2,126.92975483,0.53333333,0.02133333,0.01355093,1766417786231,filled,1808368,127.04
3682449,SOLUSDT,sell,2,127.26823418,0.53333333,0.144,0.01357547,1766418050602,filled,1808368,127.27
3682451,SOLUSDT,buy,1,126.92885222,0.53333333,0.0,0.013539,1766418085534,filled,1808368,126.92
3682459,SOLUSDT,sell,2,127.26732916,0.53333333,0.14933333,0.01357653,1766418167192,filled,1808368,127.28
3682502,SOLUSDT,sell,2,127.6067087,0.53333333,0.32533333,0.01361173,1766418649579,filled,1808368,127.61
3682518,SOLUSDT,sell,2,127.94699326,0.53333333,0.512,0.01364907,1766418917659,filled,1808368,127.96
